scenario_id,p,config,seed,spawned,passed,pass_rate,avg_travel_time,avg_gate_wait,throughput_active,W1_avg,W1_pk,W2_avg,W2_pk
p50_cfg2_s42,0.5,2,42,794,794,1.0,49.29420654911839,13.13828715365239,1.4936042136945071,0.3106467926537131,0.8506787330316742,0.3617353156227151,0.8727272727272727
p50_cfg2_s43,0.5,2,43,823,823,1.0,49.49003645200487,14.20844471445929,1.5274684484038605,0.3317331194143969,0.7873303167420814,0.33661808928984505,0.8
p50_cfg2_s44,0.5,2,44,807,807,1.0,49.139116517285544,13.790706319702595,1.4774807762724276,0.34537391550966207,0.9411764705882353,0.3760790933204726,1.018181818181818
p50_cfg2_s45,0.5,2,45,857,857,1.0,50.149462365591404,15.186172695449237,1.5604515659140568,0.3608921373145753,0.832579185520362,0.3690014903129657,0.8363636363636363
p50_cfg2_s46,0.5,2,46,811,811,1.0,49.03549618320612,14.889395807644872,1.4547085201793721,0.328316792080198,0.8687782805429864,0.3147926098127982,0.7272727272727273
p50_cfg3_s42,0.5,3,42,794,794,1.0,47.28457178841311,7.595340050377829,1.5248703668139043,0.2932161370295245,0.6968325791855203,0.5495007132667618,1.2727272727272727
p50_cfg3_s43,0.5,3,43,823,823,1.0,48.4127892813642,7.902916160388815,1.5889564629790522,0.30603371926378,0.7330316742081447,0.5922219469903394,1.2
p50_cfg3_s44,0.5,3,44,807,807,1.0,47.41421254801537,8.073296158612138,1.5203466465712134,0.32994390496042847,0.7692307692307693,0.613382026868397,1.4545454545454546
p50_cfg4_s42,0.5,4,42,794,794,1.0,49.11070975918886,12.387720403022668,1.4302440781770693,0.29682009673896087,0.6515837104072398,0.41260997067448685,0.9454545454545454
p50_cfg3_s46,0.5,3,46,811,811,1.0,48.03765903307889,8.691245376078909,1.5116495806150978,0.29942049694371675,0.8054298642533937,0.6247982003440519,1.490909090909091
p50_cfg3_s45,0.5,3,45,857,857,1.0,50.01622911694511,8.824912485414231,1.6142399698624976,0.352775125575989,0.7330316742081447,0.6791850351483378,1.490909090909091
p50_cfg4_s43,0.5,4,43,823,823,1.0,49.55774390243903,11.22648845686512,1.5291713117800076,0.3223643211314927,0.7692307692307693,0.47082111436950147,0.9090909090909091
p50_cfg4_s44,0.5,4,44,807,805,0.9975216852540273,47.35000000000001,11.942812887236675,1.427813163481953,0.30940754062478,0.8687782805429864,0.435538362346873,0.8363636363636363
p50_cfg4_s45,0.5,4,45,857,857,1.0,50.26041916167666,13.350700116686111,1.5481889621533738,0.3168576596568483,0.8054298642533937,0.46698080680381565,0.9818181818181818
p50_cfg5_s42,0.5,5,42,794,774,0.9748110831234257,53.10538057742782,22.838193548387096,1.3743571555240288,0.34502487338412957,0.7330316742081447,0.1821973646791165,0.7272727272727273
p50_cfg4_s46,0.5,4,46,811,811,1.0,47.87212276214836,11.059617755856962,1.461129627961445,0.29318860824638915,0.751131221719457,0.5056703065386133,1.0909090909090908
p50_cfg5_s43,0.5,5,43,823,821,0.9975698663426489,53.721755253399266,22.076796589524967,1.4583888444799715,0.34190135296368834,0.751131221719457,0.23970546587369018,0.7272727272727273
p50_cfg5_s44,0.5,5,44,807,784,0.9714993804213135,51.97246753246753,19.854585987261142,1.3936972924988904,0.3426360510759488,0.7601809954751131,0.2518847006651885,0.8363636363636363
p50_cfg5_s45,0.5,5,45,857,824,0.9614935822637106,54.39876543209878,24.90284503631961,1.4645390070921986,0.39246871710911,0.7420814479638009,0.19095495826071004,0.5818181818181818
p50_cfg5_s46,0.5,5,46,811,778,0.9593094944512947,53.45300653594773,23.04249037227214,1.3763250883392226,0.36892348912809275,0.7420814479638009,0.1956542921173146,0.6909090909090909
p50_cfg6_s42,0.5,6,42,794,605,0.7619647355163728,91.59733333333335,62.58900826446282,1.0745049285143413,0.29907727797001155,0.5158371040723982,0.1458913458913459,0.4727272727272727
p50_cfg6_s43,0.5,6,43,823,606,0.7363304981773997,87.53073701842547,60.69250411861616,1.0749070302815653,0.31276727885724426,0.5610859728506787,0.14016595240266252,0.43636363636363634
p50_cfg6_s44,0.5,6,44,807,618,0.7657992565055762,83.91798029556651,56.19789983844911,1.0967399007795888,0.30872149764883333,0.5429864253393665,0.15581267217630854,0.509090909090909
p50_cfg6_s45,0.5,6,45,857,613,0.7152858809801633,86.43289256198348,60.615960912052124,1.0880737196526669,0.3155975512376897,0.6425339366515838,0.1437016317016317,0.4727272727272727
p50_cfg6_s46,0.5,6,46,811,618,0.7620221948212084,88.53780687397709,61.51680129240711,1.0987840596432057,0.30536775796291366,0.5520361990950227,0.1457480965049078,0.4727272727272727
p70_cfg1_s42,0.7,1,42,794,549,0.6914357682619647,128.38295880149815,94.70836363636361,0.9719890430326058,0.3588324017389761,0.7420814479638009,0.16171122994652407,0.4727272727272727
p70_cfg1_s43,0.7,1,43,823,572,0.6950182260024301,117.47055655296231,85.57089160839162,1.0146341463414634,0.3662230503060953,0.7782805429864253,0.16484848484848486,0.43636363636363634
p70_cfg1_s44,0.7,1,44,807,557,0.6902106567534076,114.2095588235294,82.87016129032257,0.9873484915509158,0.37427025108686013,0.8597285067873304,0.1602139037433155,0.4
p70_cfg2_s42,0.7,2,42,794,788,0.9924433249370277,56.726478318002634,27.016645569620245,1.3955131602190425,0.38669412538190817,0.7692307692307693,0.16318622174381053,0.4727272727272727
p70_cfg1_s46,0.7,1,46,811,577,0.7114673242909988,121.61532976827097,89.64462738301559,1.0198851082633673,0.3518410078963712,0.7873303167420814,0.16,0.36363636363636365
p70_cfg1_s45,0.7,1,45,857,591,0.6896149358226371,107.99973958333334,77.25507614213198,1.0475008862105635,0.3795315411232366,0.7963800904977375,0.16602495543672013,0.4
p70_cfg2_s43,0.7,2,43,823,815,0.9902794653705954,57.1463786531131,27.570036764705872,1.446039340776183,0.39171380090497737,0.7873303167420814,0.16460732984293194,0.509090909090909
p70_cfg2_s44,0.7,2,44,807,766,0.9491945477075588,54.76752368064953,25.186440677966083,1.3566817016007782,0.4002066799771248,0.7782805429864253,0.15940988835725678,0.4
p70_cfg2_s45,0.7,2,45,857,832,0.970828471411902,56.67869565217392,27.054676258992796,1.474279653526604,0.40311860460749893,0.7963800904977375,0.1756619826020457,0.4727272727272727
p70_cfg2_s46,0.7,2,46,811,772,0.9519112207151664,55.15610738255035,26.06686046511627,1.366887417218543,0.40286745640347754,0.7963800904977375,0.16643199673502704,0.4727272727272727
p70_cfg3_s42,0.7,3,42,794,794,1.0,51.27907711757271,14.54250629722921,1.4920605092549093,0.3578699488639864,0.8416289592760181,0.3746787244169443,0.7636363636363637
