[2026-04-18 13:36:30] 전체 모드: 100 시나리오
[2026-05-11 14:10:22] [16/29] p20_cfg1_s46: OK (33.2s, spawn=811, pass=811)
[2026-05-11 14:10:47] [17/29] p20_cfg2_s44: OK (28.4s, spawn=807, pass=783)
[2026-05-11 14:10:47]   진행: 17/29, 경과 149s, ETA 105s
[2026-05-11 14:10:50] [18/29] p20_cfg2_s46: OK (28.8s, spawn=811, pass=807)
[2026-05-11 14:10:51] [19/29] p20_cfg2_s45: OK (31.1s, spawn=857, pass=850)
[2026-05-11 14:10:57] [20/29] p25_cfg1_s42: OK (34.6s, spawn=794, pass=794)
[2026-05-11 14:11:30] [21/29] p25_cfg1_s43: OK (42.5s, spawn=823, pass=823)
[2026-05-11 14:11:30]   진행: 21/29, 경과 192s, ETA 73s
[2026-05-11 14:11:30] [22/29] p25_cfg1_s44: OK (40.3s, spawn=807, pass=807)
[2026-05-11 14:11:35] [23/29] p25_cfg1_s45: OK (43.9s, spawn=857, pass=857)
[2026-05-11 14:11:37] [24/29] p25_cfg1_s46: OK (39.7s, spawn=811, pass=811)
[2026-05-11 14:12:01] [25/29] p25_cfg2_s43: OK (30.8s, spawn=823, pass=823)
[2026-05-11 14:12:01]   진행: 25/29, 경과 223s, ETA 36s
[2026-05-11 14:12:01] [26/29] p25_cfg2_s42: OK (31.4s, spawn=794, pass=794)
[2026-05-11 14:12:04] [27/29] p25_cfg2_s44: OK (29.3s, spawn=807, pass=791)
[2026-05-11 14:12:07] [28/29] p25_cfg2_s45: OK (30.1s, spawn=857, pass=856)
[2026-05-11 14:12:19] [29/29] p25_cfg2_s46: OK (18.4s, spawn=811, pass=807)
[2026-05-11 14:12:19]   진행: 29/29, 경과 241s, ETA 0s
[2026-05-11 14:12:20] summary.csv 생성: 30 행 -> C:\Users\aaron\tagless\results\summary.csv
[2026-05-11 14:12:20] 종료: 성공 29, 스킵 1, 실패 0, 총 241.4s
[2026-05-11 17:49:27] 병렬 모드: workers=4, model=cfsm
[2026-05-11 17:49:27] 전체 75개 중 SKIP 15, 실행 60
[2026-05-11 17:50:08] [1/60] p55_cfg2_s44: OK (37.7s, spawn=807, pass=806)
[2026-05-11 17:50:08]   진행: 1/60, 경과 41s, ETA 2428s
[2026-05-11 17:50:08] [2/60] p55_cfg2_s43: OK (38.0s, spawn=823, pass=823)
[2026-05-11 17:50:08] [3/60] p55_cfg2_s42: OK (38.1s, spawn=794, pass=794)
[2026-05-11 17:50:10] [4/60] p55_cfg2_s45: OK (39.8s, spawn=857, pass=857)
[2026-05-11 17:50:48] [5/60] p55_cfg2_s46: OK (40.1s, spawn=811, pass=811)
[2026-05-11 17:50:48]   진행: 5/60, 경과 81s, ETA 893s
[2026-05-11 17:50:53] [6/60] p55_cfg3_s42: OK (44.5s, spawn=794, pass=794)
