scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3_avg_density,zone3_max_density,zone4_avg_density,zone4_max_density
p70_cfg2_s44,0.7,2,44,382,360,48.68303571428572,90.53750000000001,336,25.1158904109589,67.96,19.55163690476191,23.962500000000013,163,173,0.4851190476190476,0.051840000000000004,0.1176,1.2821428571428573,3.5714285714285716,0.07777777777777778,0.16666666666666666,0.09166666666666666,0.16666666666666666
p70_cfg2_s45,0.7,2,45,413,393,49.67728494623656,97.39000000000001,372,24.955904522613057,71.60749999999997,19.905241935483875,25.795,181,191,0.48655913978494625,0.05652000000000001,0.1176,1.357142857142857,3.2857142857142856,0.08611111111111111,0.16666666666666666,0.08888888888888889,0.16666666666666666
p70_cfg2_s46,0.7,2,46,434,416,54.514847715736046,110.12000000000002,394,28.934080188679243,83.72499999999998,20.474238578680207,25.600000000000023,190,204,0.48223350253807107,0.06373333333333334,0.1296,1.6029761904761906,3.9642857142857144,0.09722222222222224,0.16666666666666666,0.09722222222222222,0.16666666666666666
p70_cfg3_s42,0.7,3,42,417,415,48.42401477832513,82.92500000000001,406,14.904556354916064,42.73999999999999,26.699753694581286,43.287499999999994,158,248,0.3891625615763547,0.05277333333333334,0.124,0.8160714285714286,3.142857142857143,0.06944444444444443,0.16666666666666666,0.11944444444444446,0.16666666666666666
p70_cfg3_s43,0.7,3,43,426,422,46.63545232273839,81.03999999999998,409,15.275352112676053,42.52499999999999,25.44229828850856,42.52,169,240,0.4132029339853301,0.052186666666666666,0.1192,0.8488095238095238,3.0357142857142856,0.08611111111111111,0.16666666666666666,0.1138888888888889,0.16666666666666666
p70_cfg3_s44,0.7,3,44,382,381,46.440456989247316,75.47999999999999,372,14.924869109947641,41.495,24.14072580645162,36.55000000000001,146,226,0.3924731182795699,0.046400000000000004,0.1128,0.7523809523809523,3.0357142857142856,0.075,0.16666666666666666,0.10555555555555557,0.16666666666666666
p70_cfg3_s45,0.7,3,45,413,410,46.32919799498747,77.58499999999998,399,12.366343825665858,35.72999999999998,26.685087719298252,45.55500000000001,164,235,0.41102756892230574,0.05006666666666667,0.1152,0.6857142857142856,2.8214285714285716,0.075,0.16666666666666666,0.10833333333333335,0.16666666666666666
p70_cfg3_s46,0.7,3,46,434,432,47.75546318289786,83.35000000000001,421,14.223156682027646,42.24999999999998,26.40581947743468,46.349999999999994,175,246,0.4156769596199525,0.05450666666666667,0.1264,0.8125,3.142857142857143,0.07777777777777777,0.16666666666666666,0.11666666666666668,0.16666666666666666
p70_cfg4_s42,0.7,4,42,417,415,44.776265060240966,70.91499999999999,415,8.426139088729014,22.679999999999993,27.142891566265057,44.19999999999999,187,228,0.4506024096385542,0.04836,0.1192,0.5148809523809524,2.2857142857142856,0.09166666666666666,0.16666666666666666,0.1027777777777778,0.16666666666666666
p70_cfg4_s43,0.7,4,43,426,426,45.407701421800944,71.24,422,7.622065727699528,17.125000000000004,28.145971563981043,48.150000000000006,191,231,0.45260663507109006,0.05013333333333333,0.1208,0.47380952380952385,1.8571428571428572,0.08888888888888889,0.16666666666666666,0.10833333333333335,0.16666666666666666
p70_cfg4_s44,0.7,4,44,382,382,40.52591623036649,63.08749999999999,382,5.250392670157066,14.147499999999978,25.212172774869117,41.89499999999999,174,208,0.45549738219895286,0.03998666666666666,0.108,0.3458333333333333,1.8214285714285714,0.08055555555555555,0.16666666666666666,0.09166666666666669,0.16666666666666666
p70_cfg4_s45,0.7,4,45,413,413,43.08934624697337,65.94,413,6.870096852300241,21.019999999999992,26.570338983050853,43.690000000000005,192,221,0.4648910411622276,0.04606666666666667,0.112,0.43630952380952387,2.1785714285714284,0.09166666666666669,0.16666666666666666,0.1027777777777778,0.16666666666666666
p70_cfg4_s46,0.7,4,46,434,434,45.314120370370375,72.75999999999999,432,7.761866359447001,20.652499999999993,28.17916666666667,47.145,202,230,0.4675925925925926,0.05102666666666667,0.1216,0.49464285714285716,2.2142857142857144,0.09722222222222224,0.16666666666666666,0.11111111111111113,0.16666666666666666
p80_cfg1_s42,0.8,1,42,417,224,90.00971563981044,219.75000000000003,211,61.35352422907489,171.92499999999995,19.45758293838863,24.05000000000001,48,163,0.22748815165876776,0.11836,0.2048,3.8202380952380954,7.607142857142857,0.025,0.16666666666666666,0.08611111111111111,0.16666666666666666
p80_cfg1_s43,0.8,1,43,426,244,83.85969827586207,213.34499999999997,232,56.58152610441766,171.59999999999997,19.9260775862069,24.400000000000006,50,182,0.21551724137931033,0.10870666666666667,0.1984,3.4672619047619047,7.035714285714286,0.025,0.16666666666666666,0.07777777777777778,0.16666666666666666
p80_cfg1_s44,0.8,1,44,382,226,88.2857476635514,214.1475,214,59.106034482758616,164.66249999999997,20.169158878504675,25.217500000000012,45,169,0.2102803738317757,0.09525333333333333,0.1768,3.0273809523809523,6.178571428571429,0.013888888888888888,0.16666666666666666,0.08055555555555556,0.16666666666666666
p80_cfg1_s45,0.8,1,45,413,237,89.14471365638767,214.39999999999998,227,60.26499999999999,174.66249999999994,19.01872246696036,23.705,44,183,0.19383259911894274,0.10811999999999998,0.1888,3.529166666666667,7.0,0.01944444444444444,0.16666666666666666,0.08333333333333334,0.16666666666666666
p80_cfg1_s46,0.8,1,46,434,226,89.85558139534884,217.19500000000002,215,60.7,171.98749999999995,19.61116279069768,22.93000000000002,40,175,0.18604651162790697,0.11994666666666667,0.2136,3.8172619047619047,7.892857142857143,0.016666666666666666,0.16666666666666666,0.08888888888888888,0.16666666666666666
