[2026-04-18 14:27:47] 전체 모드: 100 시나리오
[2026-04-18 14:38:56] [86/100] p80_cfg2_s42: 시작 (p=0.8, cfg=2, seed=42)
[2026-04-18 14:39:01] [86/100] p80_cfg2_s42: OK (4.5s, spawn=417, pass=374)
[2026-04-18 14:39:01] [87/100] p80_cfg2_s43: 시작 (p=0.8, cfg=2, seed=43)
[2026-04-18 14:39:05] [87/100] p80_cfg2_s43: OK (4.6s, spawn=426, pass=363)
[2026-04-18 14:39:05] [88/100] p80_cfg2_s44: 시작 (p=0.8, cfg=2, seed=44)
[2026-04-18 14:39:10] [88/100] p80_cfg2_s44: OK (4.4s, spawn=382, pass=361)
[2026-04-18 14:39:10] [89/100] p80_cfg2_s45: 시작 (p=0.8, cfg=2, seed=45)
[2026-04-18 14:39:14] [89/100] p80_cfg2_s45: OK (4.5s, spawn=413, pass=365)
[2026-04-18 14:39:14] [90/100] p80_cfg2_s46: 시작 (p=0.8, cfg=2, seed=46)
[2026-04-18 14:39:19] [90/100] p80_cfg2_s46: OK (4.8s, spawn=434, pass=387)
[2026-04-18 14:39:19] [91/100] p80_cfg3_s42: 시작 (p=0.8, cfg=3, seed=42)
[2026-04-18 14:39:24] [91/100] p80_cfg3_s42: OK (5.2s, spawn=417, pass=414)
[2026-04-18 14:39:24] [92/100] p80_cfg3_s43: 시작 (p=0.8, cfg=3, seed=43)
[2026-04-18 14:39:29] [92/100] p80_cfg3_s43: OK (5.3s, spawn=426, pass=422)
[2026-04-18 14:39:30] [93/100] p80_cfg3_s44: 시작 (p=0.8, cfg=3, seed=44)
[2026-04-18 14:39:34] [93/100] p80_cfg3_s44: OK (5.0s, spawn=382, pass=381)
[2026-04-18 14:39:35] [94/100] p80_cfg3_s45: 시작 (p=0.8, cfg=3, seed=45)
[2026-04-18 14:39:40] [94/100] p80_cfg3_s45: OK (5.1s, spawn=413, pass=412)
[2026-04-18 14:39:40] [95/100] p80_cfg3_s46: 시작 (p=0.8, cfg=3, seed=46)
[2026-04-18 14:39:45] [95/100] p80_cfg3_s46: OK (5.3s, spawn=434, pass=428)
[2026-04-18 14:39:45] [96/100] p80_cfg4_s42: 시작 (p=0.8, cfg=4, seed=42)
[2026-04-18 14:39:51] [96/100] p80_cfg4_s42: OK (5.6s, spawn=417, pass=416)
[2026-04-18 14:39:51] [97/100] p80_cfg4_s43: 시작 (p=0.8, cfg=4, seed=43)
[2026-04-18 14:39:56] [97/100] p80_cfg4_s43: OK (5.7s, spawn=426, pass=424)
[2026-04-18 14:39:56] [98/100] p80_cfg4_s44: 시작 (p=0.8, cfg=4, seed=44)
[2026-04-18 14:40:01] [98/100] p80_cfg4_s44: OK (5.1s, spawn=382, pass=382)
[2026-04-18 14:40:01] [99/100] p80_cfg4_s45: 시작 (p=0.8, cfg=4, seed=45)
[2026-04-18 14:40:07] [99/100] p80_cfg4_s45: OK (5.8s, spawn=413, pass=412)
[2026-04-18 14:40:07] [100/100] p80_cfg4_s46: 시작 (p=0.8, cfg=4, seed=46)
[2026-04-18 14:40:13] [100/100] p80_cfg4_s46: OK (5.8s, spawn=434, pass=429)
[2026-04-18 14:40:13] summary.csv 생성: 100 행 -> C:\Users\aaron\tagless\results_v2\summary_v2.csv
[2026-04-18 14:40:13] 종료: 성공 100, 스킵 0, 실패 0
