time,track_id,direction,vtype,bbox_height,cx,cy,zone
11:25:53,1,Upward,Car,117,1000,755,0
11:25:55,1,Downward,Car,232,630,869,0
11:25:56,3,Upward,Truck_S,170,1007,844,0
11:25:57,1,Downward,Car,192,610,862,0
11:25:57,1,Upward,Truck_S,159,1061,692,0
11:25:59,1,Upward,Truck_S,122,1001,573,0
11:26:01,2,Downward,Truck_L,328,629,850,0
11:26:02,2,Downward,Truck_L,379,216,884,0
11:26:03,2,Downward,Car,218,632,907,0
11:26:04,2,Downward,Truck_S,219,354,966,1
11:26:05,4,Downward,Truck_S,199,228,977,1
11:26:05,1,Downward,Car,250,644,859,0
11:26:07,1,Downward,Truck_S,257,610,890,0
11:26:10,1,Downward,Car,202,406,867,0
11:26:10,3,Downward,Car,190,268,981,1
11:26:11,2,Downward,Truck_S,193,658,854,1
11:26:11,1,Upward,Truck_L,394,1305,845,0
11:26:12,2,Downward,Car,197,644,872,0
11:26:13,2,Upward,Truck_S,143,1031,599,0
11:26:13,1,Downward,Truck_S,223,375,899,0
11:26:14,1,Downward,Car,252,616,887,0
11:26:17,1,Downward,Car,224,612,896,0
11:26:20,2,Downward,Car,196,618,979,1
11:26:22,2,Downward,Car,251,415,863,1
11:26:22,3,Downward,Truck_S,194,248,980,1
11:26:24,1,Downward,Truck_L,404,350,869,0
11:26:24,3,Downward,Truck_S,277,228,934,0
11:26:24,1,Downward,Truck_S,243,656,878,0
11:26:25,1,Downward,Car,249,637,893,0
11:27:01,1,Upward,Bus,312,1255,837,0
11:27:25,1,Upward,Truck_S,220,1058,830,0
11:27:32,1,Upward,Car,214,1248,832,0
11:27:52,2,Upward,Truck_S,140,1199,826,1
11:27:54,1,Downward,Car,193,665,867,0
11:27:54,2,Downward,Truck_S,210,390,871,0
11:27:56,1,Downward,Car,199,397,879,0
11:27:57,2,Upward,Car,156,1018,834,0
11:28:00,2,Upward,Car,131,1188,815,0
11:28:02,1,Downward,Car,206,408,871,0
11:28:03,1,Upward,Truck_S,198,1238,835,0
11:28:04,1,Upward,Car,144,1018,832,0
11:28:06,1,Downward,Car,187,620,856,0
11:28:07,1,Upward,Car,96,1154,761,0
11:28:07,4,Downward,Car,246,357,954,1
11:28:08,2,Upward,Car,136,1226,845,0
11:28:08,5,Downward,Car,225,388,854,0
11:28:09,5,Upward,Car,102,954,704,0
11:28:09,2,Downward,Car,229,238,962,0
11:28:13,1,Downward,Car,265,374,902,0
11:28:14,1,Upward,Truck_L,299,1285,844,0
11:28:16,2,Downward,Car,185,379,880,1
11:28:18,1,Downward,Car,201,433,894,0
11:28:19,1,Downward,Car,207,642,884,0
11:28:21,1,Downward,Car,204,415,873,0
11:28:21,1,Downward,Car,184,280,985,0
11:28:21,1,Downward,Car,216,600,906,0
11:28:23,1,Downward,Car,291,634,888,0
11:28:24,2,Downward,Car,185,407,856,0
11:28:26,3,Downward,Car,186,424,864,1
11:28:27,2,Downward,Car,218,648,900,1
11:28:28,1,Downward,Car,233,391,874,0
11:28:29,1,Downward,Car,226,631,851,0
11:28:30,2,Downward,Car,189,504,858,0
11:28:31,1,Downward,Car,187,657,858,0
11:28:38,1,Downward,Car,257,601,898,0
11:28:40,1,Downward,Truck_L,373,351,867,0
11:28:40,5,Downward,Truck_S,275,223,935,1
11:28:41,1,Downward,Truck_S,194,675,855,0
11:28:41,2,Downward,Truck_L,410,280,866,1
11:28:42,3,Upward,Car,137,1007,823,0
11:28:43,2,Downward,Car,203,618,863,0
11:28:53,1,Downward,Car,212,636,857,0
11:28:57,1,Downward,Truck_L,433,346,858,0
11:29:21,1,Upward,Car,134,1190,839,0
11:30:10,1,Upward,Car,168,1201,823,0
11:30:14,2,Downward,Car,194,315,979,1
11:30:16,1,Downward,Car,200,634,877,0
11:30:17,1,Upward,Car,130,982,814,0
11:30:23,1,Downward,Car,218,410,900,0
11:30:24,1,Upward,Car,135,990,813,0
11:30:25,2,Downward,Car,263,582,944,0
11:30:31,1,Downward,Car,246,630,854,0
11:30:32,1,Downward,Car,190,435,859,0
11:30:34,2,Upward,Car,131,993,816,0
11:30:35,1,Upward,Car,137,1198,820,0
11:30:35,1,Upward,Car,147,1077,828,0
11:30:38,1,Upward,Car,141,1023,833,0
11:30:39,1,Downward,Car,243,391,905,0
11:30:41,2,Upward,Truck_S,227,1283,836,1
11:30:44,5,Upward,Truck_S,175,1211,828,0
11:30:44,1,Downward,Car,246,615,915,0
11:30:44,1,Upward,Car,102,1076,681,0
11:30:54,1,Upward,Car,143,1211,826,0
11:30:57,1,Upward,Car,142,1011,823,0
11:31:00,2,Downward,Car,256,601,927,0
11:31:01,1,Downward,Truck_S,213,447,851,0
11:31:03,1,Downward,Car,233,641,896,0
11:31:03,1,Downward,Car,189,667,861,0
11:31:03,2,Downward,Car,212,385,885,0
11:31:05,1,Downward,Car,216,441,859,0
11:31:06,1,Downward,Car,212,632,874,0
11:31:09,1,Upward,Truck_S,197,1221,832,0
11:31:09,3,Downward,Car,204,646,860,1
11:31:11,1,Downward,Car,210,633,892,0
11:31:13,1,Downward,Car,200,647,868,0
11:31:15,1,Downward,Car,208,655,855,0
11:31:17,1,Downward,Truck_L,309,438,860,0
11:31:18,1,Downward,Car,210,627,884,0
11:31:19,1,Downward,Truck_S,216,654,875,0
11:31:19,4,Downward,Truck_L,383,273,883,1
11:31:21,2,Downward,Car,204,563,865,0
11:31:22,1,Downward,Car,190,632,869,0
11:31:25,1,Downward,Truck_L,442,283,852,0
11:31:26,1,Downward,Car,265,421,858,0
11:32:49,2,Upward,Car,141,1185,833,1
11:32:50,1,Upward,Car,149,1002,825,0
11:32:57,1,Upward,Car,160,1002,832,0
11:33:03,3,Upward,Car,135,1010,815,0
11:33:04,2,Downward,Car,201,551,978,0
11:33:05,1,Downward,Car,194,443,859,0
