t_sec,rho,v_mps,n_agents
713.247,1.0,1.73336101120233,2
713.28,1.0,1.4859354727218683,2
713.313,1.0,1.570768088427795,2
713.347,1.0,1.5257278757985926,2
713.38,0.5,1.2266973070415954,1
713.413,1.0,1.7160593321543853,2
713.447,1.0,1.4104937536987219,2
713.48,0.5,1.3518916129339502,1
713.514,0.5,1.5053396656829243,1
713.547,1.0,1.4050131921060265,2
713.58,1.0,2.2520345519868203,2
713.614,1.0,1.3661830869330958,2
713.647,1.0,1.3680891692666792,2
713.68,1.0,1.131899431110837,2
713.714,1.0,1.284302774746093,2
713.747,0.5,0.9942790577040295,1
713.78,0.5,0.9057969292248084,1
713.814,0.5,1.1688814544347785,1
713.847,0.5,1.2649843891577102,1
713.881,0.5,1.5505397318569922,1
713.914,0.5,1.7789829547416636,1
713.947,0.5,1.9601080554128583,1
714.047,0.5,2.269206071972583,1
725.526,0.5,0.7534388502060999,1
725.559,0.5,0.02874025560103017,1
725.592,0.5,0.12406497483099507,1
725.626,0.5,0.5372049604793854,1
725.659,0.5,0.4771347136212322,1
725.692,0.5,0.6540659277045314,1
725.726,0.5,1.2876225926984926,1
725.759,0.5,0.8373941950961445,1
725.792,0.5,0.4492642861208513,1
725.826,0.5,0.6339158048806649,1
725.859,0.5,0.5919567372699284,1
725.893,0.5,0.6339158048806653,1
725.926,0.5,2.0702625000214785,1
725.959,0.5,1.4870434468171863,1
725.993,0.5,1.6259683429799912,1
726.026,0.5,1.6719507589753915,1
726.059,0.5,1.2004819592159763,1
726.093,0.5,0.6992843268406195,1
726.126,0.5,0.46554171657371346,1
726.159,0.5,0.42570375340791217,1
726.193,0.5,0.30160550165740296,1
726.226,0.5,0.6344529667565386,1
726.26,0.5,1.0156000923780597,1
726.293,0.5,0.9233484688615333,1
726.326,0.5,1.4375475516020455,1
726.36,0.5,1.5225566913619946,1
726.393,0.5,1.4941253675083233,1
726.426,0.5,1.8322766350637443,1
726.46,0.5,1.9095887662993958,1
726.493,0.5,2.752402707853376,1
726.527,0.5,0.7663024411190708,1
726.56,0.5,0.9121092306434275,1
726.593,0.5,1.1943315799023442,1
726.627,0.5,0.209783465936801,1
726.66,0.5,0.23149210389776714,1
726.693,0.5,0.3217601004466928,1
726.727,0.5,0.3174143472686101,1
726.76,0.5,0.7558984859042396,1
726.793,0.5,1.0904661287611177,1
726.827,0.5,0.6032110033148059,1
726.86,0.5,0.47649954287760693,1
726.894,0.5,1.074153452866604,1
726.927,0.5,2.2024230893487147,1
726.96,0.5,1.5310106649843667,1
726.994,0.5,0.8800078376874004,1
727.027,0.5,0.7193016012722631,1
727.06,0.5,1.0358035461897943,1
727.094,0.5,1.7649676052917571,1
727.127,0.5,0.49127991713663366,1
727.16,0.5,0.47312248126193623,1
727.194,1.0,0.345659897215247,2
727.227,1.0,0.29592273320952794,2
727.261,1.0,0.7484141772040975,2
727.294,1.0,0.3080197568448411,2
727.327,1.5,0.45750059302448953,3
727.361,1.5,0.6031430582367246,3
727.394,1.5,0.4868439908579825,3
727.427,1.5,0.4659215136355579,3
727.461,1.5,0.7144582327394599,3
727.494,1.0,0.3880770903595264,2
727.528,0.5,1.4882724681029975,1
