scenario_id,p,config,seed,avg_gate_wait,p95_gate_wait,avg_esc_wait,zone1_density_avg,zone1_density_max,zone1_los_avg,zone1_los_max,zone1_category,zone2_density_avg,zone2_density_max,zone2_los_avg,zone2_los_max,zone2_category,zone3a_density_avg,zone3a_density_max,zone3a_los_avg,zone3a_los_max,zone3a_category,zone3b_density_avg,zone3b_density_max,zone3b_los_avg,zone3b_los_max,zone3b_category,zone3c_density_avg,zone3c_density_max,zone3c_los_avg,zone3c_los_max,zone3c_category,zone4a_density_avg,zone4a_density_max,zone4a_los_avg,zone4a_los_max,zone4a_category,zone4b_density_avg,zone4b_density_max,zone4b_los_avg,zone4b_los_max,zone4b_category,zone4c_density_avg,zone4c_density_max,zone4c_los_avg,zone4c_los_max,zone4c_category
p10_cfg6_s43,0.1,6,43,72.09134615384616,196.96250000000003,14.8125,0.1388266666666666,0.2528,A,A,walkway,4.734523809523809,10.071428571428571,E,F,waiting,0.0569444444444444,0.3333333333333333,A,B,walkway,0.0,0.0,A,A,walkway,0.0044444444444444,0.0333333333333333,A,A,walkway,0.2395833333333333,0.4583333333333333,A,C,walkway,0.0,0.0,A,A,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway
p10_cfg6_s44,0.1,6,44,72.51820987654321,188.6975,15.305732484076437,0.1162266666666666,0.2112,A,A,walkway,4.004166666666666,8.25,E,F,waiting,0.0541666666666666,0.2916666666666667,A,A,walkway,0.0027777777777777,0.1666666666666666,A,A,walkway,0.005,0.0666666666666666,A,A,walkway,0.2715277777777778,0.5,A,C,walkway,0.0,0.0,A,A,walkway,0.0222222222222222,0.0666666666666666,A,A,walkway
p10_cfg6_s45,0.1,6,45,74.45766666666668,194.26249999999996,15.418750000000005,0.1344266666666666,0.236,A,A,walkway,4.563690476190476,9.678571428571429,E,F,waiting,0.0534722222222222,0.25,A,A,walkway,0.0,0.0,A,A,walkway,0.0038888888888888,0.0333333333333333,A,A,walkway,0.25,0.5833333333333334,A,C,walkway,0.0,0.0,A,A,walkway,0.0211111111111111,0.0666666666666666,A,A,walkway
p10_cfg6_s46,0.1,6,46,72.42953020134229,198.28,14.525000000000002,0.1469466666666667,0.2568,A,A,walkway,5.058928571428571,10.571428571428571,F,F,waiting,0.0465277777777777,0.2916666666666667,A,A,walkway,0.0,0.0,A,A,walkway,0.005,0.0333333333333333,A,A,walkway,0.2354166666666667,0.5416666666666666,A,C,walkway,0.0,0.0,A,A,walkway,0.025,0.0666666666666666,A,A,walkway
p30_cfg1_s42,0.3,1,42,17.039423076923075,62.12499999999999,23.447328244274807,0.05212,0.1216,A,A,walkway,0.9202380952380952,2.9285714285714284,B,D,waiting,0.2645833333333333,0.8333333333333334,A,D,walkway,0.325,1.5,B,E,walkway,0.0155555555555555,0.0333333333333333,A,A,walkway,0.6180555555555556,1.25,C,E,walkway,1.4027777777777777,4.0,E,F,walkway,0.025,0.0666666666666666,A,A,walkway
p30_cfg1_s43,0.3,1,43,15.94401408450704,57.34999999999998,22.903117206982547,0.0524533333333333,0.1216,A,A,walkway,0.881547619047619,3.071428571428572,B,D,waiting,0.275,0.7083333333333334,A,D,walkway,0.2611111111111111,1.0,A,D,walkway,0.015,0.0333333333333333,A,A,walkway,0.6069444444444444,1.25,C,E,walkway,1.5972222222222223,4.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg1_s44,0.3,1,44,13.952770448548808,53.755,22.8781512605042,0.0456133333333333,0.1136,A,A,walkway,0.7351190476190477,2.642857142857143,A,D,waiting,0.2215277777777778,0.7083333333333334,A,D,walkway,0.2361111111111111,1.0,A,D,walkway,0.0122222222222222,0.0333333333333333,A,A,walkway,0.5590277777777778,1.2916666666666667,C,E,walkway,1.3055555555555556,4.166666666666667,E,F,walkway,0.0233333333333333,0.0666666666666666,A,A,walkway
p30_cfg1_s45,0.3,1,45,14.19101941747573,51.17499999999999,22.892005076142134,0.04924,0.1136,A,A,walkway,0.7833333333333334,2.9642857142857144,A,D,waiting,0.2583333333333333,0.75,A,D,walkway,0.2722222222222222,1.1666666666666667,A,E,walkway,0.0144444444444444,0.0333333333333333,A,A,walkway,0.5499999999999999,1.4166666666666667,C,E,walkway,1.616666666666667,5.5,E,F,walkway,0.0244444444444444,0.1,A,A,walkway
p30_cfg1_s46,0.3,1,46,16.31611764705882,60.21999999999998,24.42942643391521,0.0558533333333333,0.1264,A,A,walkway,0.9797619047619048,3.2142857142857144,B,D,waiting,0.2631944444444444,0.75,A,D,walkway,0.2888888888888888,1.1666666666666667,A,E,walkway,0.0138888888888888,0.0333333333333333,A,A,walkway,0.6291666666666667,1.375,C,E,walkway,1.744444444444445,5.0,E,F,walkway,0.0261111111111111,0.0666666666666666,A,A,walkway
p30_cfg2_s42,0.3,2,42,10.588369304556355,29.390000000000008,23.83872901678657,0.04716,0.1224,A,A,walkway,0.6047619047619047,2.357142857142857,A,D,waiting,0.3638888888888889,0.9583333333333334,B,D,walkway,0.45,1.5,C,E,walkway,0.0172222222222222,0.0333333333333333,A,A,walkway,0.4645833333333333,1.25,C,E,walkway,1.772222222222222,4.833333333333333,E,F,walkway,0.0222222222222222,0.0666666666666666,A,A,walkway
