time,agent_id,x,y,gate_idx,state
22.5,62,4.995044942359304,12.567269372018542,6,moving
22.5,63,8.106976880226888,15.075168840475952,6,moving
22.5,64,19.0353038757946,7.815371410320331,1,passed
22.5,66,7.556729134552811,10.308964002645384,1,moving
22.5,67,18.507472400063463,8.863468721104738,2,passed
22.5,68,16.211144124425115,16.625163497343436,6,passed
22.5,69,15.689999593972006,15.441034736916215,5,passed
22.5,70,15.236904001697352,9.178222143752013,0,passed
22.5,71,4.7851104095649575,8.127513828126169,1,moving
22.5,72,13.91198308780707,15.135848924085666,6,passed
22.5,73,13.860872698874378,11.614487153095245,2,passed
22.5,74,13.800693659205672,9.949630397461226,0,passed
22.5,4,11.7,11.65,2,queue
22.5,6,11.2,11.65,2,queue
22.5,22,11.7,13.350000000000001,4,queue
22.6,2,8.044203321026288,11.063359386901388,0,moving
22.6,3,7.8417216337986195,14.518380002658605,4,moving
22.6,5,6.258561664600091,12.590789697745388,5,moving
22.6,18,7.038935103912561,16.04492036554878,5,moving
22.6,19,24.761058957207887,22.21069180051176,6,passed
22.6,20,6.193327894748924,10.129003768812705,2,moving
22.6,23,7.619953214041965,11.957175592722832,2,moving
22.6,24,5.893571249734807,15.745232348170076,4,moving
22.6,26,4.864702367147464,16.462261078988515,6,moving
22.6,30,7.497789069825769,13.663757324934915,6,moving
22.6,31,4.3230850731097,9.713703578520963,0,moving
22.6,32,8.571399365775754,9.531808435579833,0,moving
22.6,33,6.5848081614450455,9.231932526801605,1,moving
22.6,34,23.897478534825137,5.2745847207126,2,passed
22.6,36,6.627131221077292,10.772593620228664,1,moving
22.6,37,21.896678539693784,20.33943598031092,6,passed
22.6,38,5.144529365304705,10.243984848976806,0,moving
22.6,39,5.432975705142093,10.925206929953932,1,moving
22.6,48,8.04828674746094,10.18617282521139,1,moving
22.6,49,6.747086435145047,14.000439469624263,2,moving
22.6,50,5.671748939367668,16.792809213364993,5,moving
22.6,55,7.0220497158530755,11.018074479585792,1,moving
22.6,57,5.383690911721184,9.542897600780762,1,moving
22.6,58,5.207330907030685,8.690270986198039,0,moving
22.6,59,5.2904283930712515,8.562590654796214,0,moving
22.6,60,5.129348379570081,14.058231058479599,2,moving
22.6,61,5.894137089323279,15.083739510234492,6,moving
22.6,62,5.016945396813392,12.591533500068532,6,moving
22.6,63,8.214512188266603,15.069490587069957,6,moving
22.6,64,19.14345197375683,7.753848369322553,1,passed
22.6,66,7.5592818794049395,10.311730216789865,1,moving
22.6,67,18.62533581937525,8.792065628243432,2,passed
22.6,68,16.32063464240349,16.6966919744169,6,passed
22.6,69,15.801795407573746,15.517865680878778,5,passed
22.6,70,15.339425330692578,9.124008086619925,0,passed
22.6,71,4.810786736599,8.123503009407775,1,moving
22.6,72,13.958146800302977,15.170279131286145,6,passed
22.6,73,13.905427423226994,11.589300270060814,2,passed
22.6,74,13.804694033506575,9.948003678269025,0,passed
22.6,75,13.800017821555864,13.350013853983208,4,passed
22.6,4,11.7,11.65,2,queue
22.6,6,11.2,11.65,2,queue
22.6,22,11.7,13.350000000000001,4,queue
22.7,2,8.04792207382015,11.060068459269852,0,moving
22.7,3,7.901852535192957,14.4733100199731,4,moving
22.7,5,6.2992328887561255,12.613271208796412,5,moving
22.7,18,7.053520975148168,16.01715797062375,5,moving
22.7,19,24.865339169011268,22.278579918924844,6,passed
22.7,20,6.196458709671355,10.129883380602818,2,moving
22.7,23,7.70660066003201,11.965195585835236,2,moving
22.7,24,5.925156699908724,15.73139541605901,4,moving
22.7,26,4.872943585512179,16.454173216397667,6,moving
22.7,30,7.518267313355031,13.664295295441573,6,moving
22.7,31,4.329350958861225,9.71171000306861,0,moving
22.7,32,8.665262193507221,9.540664720598544,0,moving
22.7,33,6.604116903632439,9.245990798641854,1,moving
22.7,34,24.024312864272794,5.194503191535793,2,passed
22.7,36,6.634976996747721,10.770202595999956,1,moving
22.7,37,22.000955746228964,20.407558695500327,6,passed
22.7,38,5.15676497009608,10.243152576464917,0,moving
22.7,39,5.456739311711198,10.931097332705251,1,moving
22.7,48,8.048812829609437,10.187669918534274,1,moving
22.7,49,6.75764982835488,13.977396399512799,2,moving
22.7,50,5.707870682139168,16.77596432966342,5,moving
22.7,55,7.0300615638531285,11.019872072402961,1,moving
22.7,57,5.397801432880511,9.542102223456837,1,moving
22.7,58,5.2502854176361335,8.688178643318114,0,moving
22.7,59,5.331391636793171,8.565317605131739,0,moving
22.7,60,5.171526111569989,14.028633157918941,2,moving
22.7,61,5.930879122726726,15.082433944064157,6,moving
22.7,62,5.038039961105677,12.614513146691676,6,moving
22.7,63,8.323742716321899,15.064779114808587,6,moving
22.7,64,19.251600470921574,7.6923251140923234,1,passed
22.7,66,7.561565457860125,10.31426863911348,1,moving
22.7,67,18.74321239315016,8.720593074332333,2,passed
22.7,68,16.43020558309606,16.768272990416786,6,passed
22.7,69,15.913793181003006,15.594875514949276,5,passed
22.7,70,15.442688444168178,9.069508561122579,0,passed
22.7,71,4.835060118592377,8.119550966622297,1,moving
22.7,72,14.009638632073058,15.20841445551989,6,passed
22.7,73,13.95888394671871,11.559453664568702,2,passed
22.7,74,13.81210952866512,9.945013936188076,0,passed
22.7,75,13.803132230110082,13.35205045907374,4,passed
22.7,6,11.7,11.65,2,queue
22.7,22,11.7,13.350000000000001,4,queue
22.8,2,8.051996539273327,11.056347739374996,0,moving
22.8,3,7.959283423007582,14.425448029464913,4,moving
22.8,5,6.338880233574758,12.634113760000336,5,moving
